Number of stations is:
731 
     nw stn lat lon:
CI _FUR  36.467  -116.863
TA C21A  47.826  -107.096
TA I17A  43.920  -110.576
XZ BARN  61.059  -141.662
CI _IRM  34.157  -115.145
XR SC26  33.504  -103.118
TA W25A  35.218  -104.461
AZ SMER  33.458  -117.171
LD _FOR  40.860  -73.885
TA R24A  38.231  -105.108
TA I03D  43.697  -123.349
US LRAL  33.040  -86.998
TA E22A  46.439  -105.949
XV BH1H  44.954  -105.073
TA F24A  45.845  -104.445
XR SC06  34.514  -104.266
TA J30A  43.325  -99.492
TA Z28A  33.288  -102.387
TA S32A  37.700  -98.936
XR SC61  31.989  -103.691
XV BH2F  45.098  -106.631
TA B22A  48.301  -105.996
TA 833A  28.324  -99.394
TA K23A  42.755  -105.625
TA H29A  44.626  -100.213
UW _OFR  47.933  -124.396
CI _SDD  33.553  -117.662
TA 130A  32.596  -100.965
AZ LVA2  33.352  -116.561
XU W020  47.873  -122.946
XR SC36  33.005  -105.180
XV BH4G  44.191  -105.784
TA W30A  35.182  -100.577
TA T23A  37.036  -106.037
TA V26A  35.796  -103.786
TA Y12C  33.750  -114.524
US AMTX  34.884  -101.681
XR SC71  31.646  -103.066
TA Y33A  34.008  -98.626
TA W33A  35.152  -98.469
TA ABTX  32.624  -99.643
YW FACH  45.881  -123.216
TA J22A  43.413  -106.478
US SCIA  41.907  -93.215
XR SC28  33.566  -102.492
XV BH5G  43.640  -106.030
TA M04C  41.783  -121.839
CI _ARV  35.127  -118.830
TA R30A  38.284  -100.277
TA O30A  40.179  -100.057
SC Y22A  33.937  -106.965
TA S26A  37.622  -103.471
TA D20A  47.091  -108.136
UW _LTY  47.255  -120.666
XV BH3G  44.610  -105.976
NM USIN  37.965  -87.666
XR SC45  32.634  -105.155
CI _USC  34.019  -118.286
TA 131A  32.674  -100.389
TA U33A  36.433  -98.114
XV BHM4  44.575  -107.295
TA 429A  30.625  -101.894
TA L02D  42.158  -123.603
XR SC69  31.691  -102.588
TA V32A  35.720  -99.044
TA I28A  44.000  -101.169
TA 239A  32.018  -94.471
US _DUG  40.195  -112.813
TA MSTX  33.970  -102.772
XR SC15  33.831  -105.025
TA V22A  35.914  -106.909
TA I22A  43.892  -106.484
TA 229A  31.967  -101.811
IW SNOW  43.460  -110.754
TA U31A  36.370  -99.851
TA 339A  31.333  -94.556
XR SC48  32.690  -102.905
TA P30A  39.544  -100.247
TA Z34A  33.371  -97.916
XR SC70  31.366  -103.737
TA G25A  45.194  -103.417
IM _TKL  35.658  -83.774
TA O20A  40.135  -108.242
TA A25A  48.939  -103.113
TA X32A  34.421  -99.285
AK _DDM  63.786  -145.866
TA N25A  40.813  -104.087
IU _WCI  38.229  -86.294
US VBMS  32.218  -90.518
TA Q29A  38.891  -100.979
TA X29A  34.445  -101.701
TA B29A  48.465  -99.353
CI _MPM  36.058  -117.489
XR SC52  32.488  -104.827
TA 238A  32.003  -95.120
XV BH4A  43.705  -108.712
NM UTMT  36.350  -88.864
AK _DOT  63.648  -144.070
XR SC37  32.937  -104.619
XR SC32  33.194  -103.598
XR SC67  31.705  -103.395
TA L29A  42.064  -100.478
TA W31A  35.186  -99.944
TA Y14A  33.938  -113.005
XR SC64  31.700  -104.426
YW FACB  47.887  -122.646
TA J23A  43.404  -105.552
TA 537A  30.080  -96.316
YW FACV  42.156  -123.602
TA L30A  41.949  -99.720
XZ GOAT  60.581  -144.729
EP KIDD  31.772  -106.506
CC WIFE  44.060  -121.817
TA F26A  45.851  -102.670
US _LAO  46.688  -106.223
TA C28A  47.716  -100.387
CI _VCS  34.484  -118.118
XR SC18  33.877  -102.841
TA C30A  47.703  -98.478
IW MFID  43.415  -115.828
TA S28A  37.590  -101.898
CI _BC3  33.655  -115.454
TA 531A  30.165  -100.546
XV BH1E  44.200  -106.961
TA U28A  36.379  -102.224
XR SC65  31.727  -104.018
TA T26A  37.175  -103.593
PE UPAO  40.480  -80.020
TA W26A  35.089  -103.766
TA 438A  30.750  -95.474
TA J24A  43.331  -104.661
TA 534A  30.028  -98.475
CI _MUR  33.600  -117.195
TA G24A  45.328  -104.416
TA 532A  30.128  -99.905
XR SC51  32.367  -105.172
US _OXF  34.512  -89.409
TA P27A  39.556  -102.578
TA V30A  35.762  -100.689
TA Z35A  33.331  -97.253
XR SC12  34.215  -103.912
TA 436A  30.770  -96.796
TA K26A  42.702  -103.178
TA S30A  37.640  -100.464
CI SCZ2  33.995  -119.635
TA 335A  31.282  -97.427
XR SC05  34.572  -105.055
TA 633A  29.459  -99.177
XR SC49  32.443  -106.064
TA L22A  42.031  -106.434
UW TAKO  43.743  -124.082
TA 733A  28.719  -99.294
TA P29A  39.602  -100.932
TA M31A  41.344  -98.977
TA 333A  31.325  -98.984
TA E29A  46.568  -99.642
XV BH3A  44.247  -108.735
CI EDW2  34.881  -117.994
TA Q24A  38.964  -105.149
TA R29A  38.424  -101.138
AZ _FRD  33.495  -116.602
XZ MESA  60.178  -141.951
TA 334A  31.332  -98.238
TA TUL1  35.910  -95.792
AT CRAG  55.469  -133.123
TA G27A  45.379  -101.931
TA Y32A  34.004  -99.442
TA H24A  44.747  -104.552
TA N24A  40.827  -104.882
TA P33A  39.436  -97.695
LD ACCN  43.384  -73.668
XR SC25  33.581  -103.548
XR SC14  33.968  -105.769
CI _MWC  34.224  -118.058
XV BHM2  44.617  -107.120
TA J28A  43.424  -101.236
XV BH1F  45.275  -106.645
TA S29A  37.620  -101.118
TA G03D  45.212  -123.264
TA 121A  32.532  -107.785
TA D22A  47.150  -106.180
US _BLA  37.211  -80.421
XR SC60  32.094  -104.488
NM SIUC  37.715  -89.217
UW YACT  45.932  -122.419
CI _HEC  34.829  -116.335
UW MRBL  48.518  -121.484
TA 430A  30.787  -101.236
XR SC54  32.284  -104.040
AK COLD  67.227  -150.204
TA I24A  43.859  -104.626
UW PASS  48.998  -122.085
TA I26A  44.031  -102.860
TA E28A  46.575  -100.693
TA G29A  45.193  -99.923
TA G28A  45.075  -100.916
XR SC17  33.893  -103.545
TA K25A  42.612  -103.871
TA G26A  45.294  -102.599
XV _BB1  44.545  -107.628
US BINY  42.199  -75.986
TA Z31A  33.318  -100.144
TA Y30A  33.877  -100.898
US HAWA  46.392  -119.533
TA L24A  42.043  -104.933
CI _SWS  32.945  -115.800
XV BH4D  44.055  -107.272
NM PBMO  36.779  -90.430
TA X18A  34.529  -109.950
TA 330A  31.406  -101.175
TA H20A  44.487  -107.999
AK BESE  58.579  -134.856
TA O24A  40.123  -105.073
TA B27A  48.404  -101.260
XR SC23  33.599  -104.328
TA K29A  42.761  -100.318
XV BHN1  44.751  -107.505
XR SC53  32.377  -104.319
TA X28A  34.519  -102.197
TA L27A  42.084  -102.315
TA Z29A  33.260  -101.706
CI _DGR  33.650  -117.010
TA M22A  41.403  -106.596
TA H19A  44.670  -108.986
CI _BEL  34.001  -115.998
AZ _KNW  33.714  -116.712
XZ BAGL  60.490  -142.091
TA SPMN  45.225  -92.804
TA I21A  43.812  -107.292
TA A22A  48.993  -105.915
CI _ISA  35.663  -118.474
XV BH1A  44.976  -108.581
TA 636A  29.481  -97.057
NM UALR  34.775  -92.343
TA D29A  47.060  -99.596
CI _PDM  34.303  -114.141
TA BGNE  41.408  -98.150
XV _BB3  44.517  -107.904
UW HEBO  45.214  -123.755
TA A24A  48.924  -104.002
TA G30A  45.129  -99.145
TA A29A  48.923  -99.232
TA H18A  44.677  -109.664
XV BHM5  44.539  -107.537
XZ GRNC  60.731  -141.756
AK _DHY  63.075  -147.376
SS NCAT  36.079  -79.771
TA B30A  48.450  -98.329
TA R23A  38.191  -105.826
TA Z14A  33.363  -112.946
TA P28A  39.573  -101.755
TA P25A  39.513  -104.168
CI _SBC  34.441  -119.715
TA H21A  44.628  -107.042
AZ _RDM  33.630  -116.848
AK _BMR  60.968  -144.605
TA L25A  42.155  -103.966
TA B21A  48.428  -107.017
XU C04A  47.717  -122.972
XR SC29  33.310  -105.671
US ERPA  42.117  -79.989
XR SC38  32.929  -104.340
TA E30A  46.502  -98.910
TA 538A  30.222  -95.490
XV BH4F  44.267  -106.594
TA H28A  44.675  -101.021
AZ _PFO  33.612  -116.459
TA Z22A  33.255  -106.964
TA TIGA  31.439  -83.590
UW STOR  47.188  -121.989
CI _DAN  34.638  -115.381
TA U30A  36.530  -100.651
XR SC43  32.943  -102.537
UW BLOW  44.684  -122.186
TA A28A  48.910  -100.267
XR SC58  32.289  -102.548
BK _CMB  38.035  -120.386
TA H26A  44.617  -102.774
TA S22A  37.746  -106.829
TA 137A  32.597  -95.756
TA U26A  36.395  -103.744
US EGMT  48.024  -109.755
YW FACD  46.662  -122.852
TA N27A  40.806  -102.537
TA MDND  47.848  -99.603
TA S27A  37.684  -102.898
TA J05D  43.285  -121.235
AZ _TRO  33.523  -116.426
XU BS11  47.957  -122.925
TA R31A  38.289  -99.527
TA 234A  32.004  -98.137
XR SC35  32.937  -105.515
CI _GLA  33.051  -114.827
CI _TUQ  35.436  -115.924
TA N31A  40.824  -98.954
TA L23A  42.114  -105.701
UW LRIV  48.057  -123.504
TA O29A  40.125  -100.798
TA N29A  40.819  -100.626
XR SC22  33.568  -104.754
YW FACQ  42.909  -124.060
TA U32A  36.380  -99.001
TA O32A  40.261  -98.276
TA F19A  45.854  -108.944
TA M25A  41.435  -104.055
US WVOR  42.434  -118.637
XV BH3F  44.827  -106.641
YW FACK  44.838  -123.073
TA K27A  42.704  -102.236
XV BH3C  44.709  -107.957
TA 336A  31.387  -96.844
TA X25A  34.527  -104.662
BK _WDC  40.580  -122.541
IW REDW  43.362  -110.852
TA J25A  43.390  -103.803
TA D24A  47.115  -104.327
TA 332A  31.383  -99.742
XR SC31  33.259  -104.341
TA J27A  43.253  -102.007
LD _PAL  41.006  -73.908
XV BH1G  45.489  -105.862
TA D21A  47.066  -106.994
TA R11A  38.349  -115.585
LD PRNY  42.467  -76.536
US _NCB  43.971  -74.224
YW FACU  42.256  -122.827
TA A26A  48.897  -102.038
TA D27A  47.108  -101.525
AT _SIT  57.057  -135.324
TA T31A  37.098  -99.677
TA 435B  30.783  -97.585
AK _MDM  64.960  -148.232
TA Q23A  38.904  -105.834
TA P24A  39.514  -104.908
TA O28A  40.126  -101.773
TA S34A  37.701  -97.111
XR SC11  34.232  -104.296
TA B20A  48.439  -108.021
TA X30A  34.446  -100.874
UO _EUO  44.029  -123.070
TA B19A  48.455  -108.944
TA 230A  31.888  -101.112
US OGNE  40.945  -102.033
TA 529A  30.125  -102.220
TA O25A  40.113  -104.120
AK _HDA  64.409  -146.948
TA 128A  32.621  -102.485
TA 735A  28.855  -97.808
TA T30A  37.053  -100.527
AZ _SND  33.552  -116.613
AK _CCB  64.645  -147.805
TA 340A  31.417  -93.890
TA 635A  29.388  -97.774
TA Z33A  33.286  -98.765
YW FACC  47.401  -122.579
TA H23A  44.562  -105.401
TA V23A  35.745  -106.183
HW PHIN  45.895  -119.928
TA S24A  37.641  -105.213
NM _BLO  39.172  -86.522
TA 133A  32.608  -98.916
TA R28A  38.342  -101.811
HW DDRF  46.491  -119.059
US LONY  44.620  -74.583
TA 535A  30.029  -97.571
TA E20A  46.504  -108.130
TA 331A  31.308  -100.427
US _BMO  44.852  -117.306
UW LCCR  45.206  -122.478
XZ ISLE  60.602  -142.341
TA S23A  37.706  -106.002
TA J20A  43.353  -108.084
TA L28A  42.007  -101.520
TA I04A  43.794  -122.411
XR SC19  33.519  -105.974
TA F30A  45.836  -99.025
TA T29A  37.157  -101.294
TA E26A  46.471  -102.462
UW LEBA  46.546  -123.563
TA C25A  47.712  -103.256
TA X31A  34.631  -99.979
TA L26A  42.037  -103.079
XU PL11  47.454  -123.154
NM OLIL  38.734  -88.099
TA D25A  47.151  -103.320
TA F27A  45.873  -102.020
LD PANJ  40.377  -74.703
YW FACS  42.786  -123.372
US AHID  42.765  -111.100
TA W13A  35.099  -113.885
UW TOLO  44.622  -123.923
US LBNH  44.240  -71.926
US NHSC  33.107  -80.178
TA M24A  41.468  -104.825
TA C24A  47.530  -104.425
TA V29A  35.873  -101.521
TA S25A  37.661  -104.435
TA 337A  31.316  -95.885
TA BRSD  44.443  -98.956
IU _HRV  42.506  -71.558
UW WOLL  47.057  -118.921
TA D19A  47.165  -108.880
TA H22A  44.594  -106.352
UW _LON  46.751  -121.810
TA C26A  47.826  -102.096
YW FACP  43.214  -124.085
TA F20A  45.801  -108.149
IU ANMO  34.946  -106.457
TA N20A  40.834  -108.263
US _MSO  46.829  -113.941
UW IZEE  44.082  -119.504
YW FAC1  45.040  -123.637
TA V34A  35.834  -97.518
IU _WVT  36.130  -87.830
CI _RPV  33.743  -118.404
TA Q32A  38.991  -98.560
TA Y29A  33.860  -101.671
US CNNC  35.239  -77.890
US EGAK  64.777  -141.158
XR SC46  32.654  -104.361
TA K21A  42.633  -107.251
CI _SHO  35.900  -116.275
TA O31A  40.152  -99.326
TA T25A  37.139  -104.411
TA W28A  35.257  -102.206
TA Z30A  33.286  -101.128
TA F04D  46.083  -123.011
CC TCBU  44.241  -121.664
HW CCRK  46.559  -119.855
TA 634A  29.381  -98.352
XR SC68  31.803  -102.770
US TZTN  36.544  -83.549
TA M23A  41.468  -105.722
TA F21A  45.823  -107.123
US TPNV  36.949  -116.249
XV _BB2  44.546  -107.783
TA 434A  30.814  -98.269
TA 933A  27.613  -99.275
XR SC40  32.932  -103.540
XV BH1C  44.933  -107.766
TA E27A  46.429  -101.564
IU _HKT  29.962  -95.838
TA C23A  47.803  -105.184
CI _DJJ  34.106  -118.455
UW TUCA  46.514  -118.145
TA M29A  41.444  -100.689
TA 109C  32.889  -117.105
TA X34A  34.601  -97.833
US MNTX  31.698  -105.382
TA P31A  39.521  -99.378
YW FACA  47.863  -122.063
AZ _HWB  33.026  -116.960
BK HUMO  42.607  -122.957
XV BH2C  44.138  -107.828
CI _SLA  35.891  -117.283
IW _IMW  43.893  -110.943
TA 129A  32.631  -101.866
XR SC20  33.604  -105.594
US _JCT  30.479  -99.802
TA R32A  38.422  -98.711
YW FACI  45.715  -122.459
XR SC30  33.274  -105.170
AZ _SOL  32.841  -117.248
TA I19A  44.036  -108.994
TA K30A  42.674  -99.613
NE _FFD  43.470  -71.654
TA U23A  36.329  -106.192
Z4 _AFH  35.800  -82.120
TA WHTX  31.991  -97.456
TA 530A  30.149  -101.338
TA H25A  44.621  -103.598
PE PSWB  41.306  -76.015
TA V24A  35.726  -105.272
TA Y24A  33.926  -105.436
X9 CLEF  32.350  -97.380
XR SC74  31.002  -102.677
TA 228A  32.118  -102.592
TA E23A  46.498  -105.306
XR SC16  33.890  -104.304
TA B23A  48.464  -104.991
XZ PTPK  61.187  -142.467
AK _PAX  62.970  -145.470
XU W030  47.813  -122.911
TA Q26A  38.923  -103.519
TA K04D  42.625  -121.754
TA 231A  31.935  -100.316
XR SC27  33.538  -102.821
XR SC42  32.873  -102.861
AE X16A  34.418  -111.441
TA B26A  48.376  -102.234
XV BH2A  44.686  -108.609
TA U34A  36.437  -97.535
CI _RRX  34.875  -116.997
TA M26A  41.466  -103.143
LB _BMN  40.431  -117.221
CI _MPP  34.889  -119.814
TA 437A  30.829  -96.139
US HLID  43.562  -114.414
XV BH2E  43.894  -106.880
TA J04D  43.240  -122.109
TA R33A  38.308  -97.984
TA G05D  45.242  -121.317
US BRAL  31.169  -87.051
TA I25A  44.020  -103.732
TA A30A  48.940  -98.301
XR SC41  32.983  -103.206
TA SFIN  40.379  -87.097
CI _DEC  34.254  -118.334
AZ _WMC  33.574  -116.675
CI _SMM  35.314  -119.996
TA D28A  47.193  -100.569
XU W040  47.601  -123.121
TA T32A  37.180  -98.925
TA I30A  43.914  -99.426
AZ _BZN  33.492  -116.667
TA J21A  43.346  -107.446
TA 113A  32.768  -113.767
IW SMCO  39.178  -106.974
NM MGMO  37.154  -92.269
UW TREE  42.726  -120.893
TA F23A  45.721  -105.406
TA 934A  27.602  -98.519
TA K22A  42.651  -106.524
TA C27A  47.714  -101.503
TA 232A  31.888  -99.647
TA Y31A  33.963  -100.261
BK _SAO  36.764  -121.447
AK _WRH  64.472  -148.092
TA KSCO  39.011  -102.627
TA S33A  37.594  -98.002
CI _GSC  35.302  -116.806
TA D23A  47.173  -105.207
CI _BAR  32.680  -116.672
TA 832A  28.284  -99.974
TA F25A  45.926  -103.458
XV BHM3  44.606  -107.203
TA P26A  39.560  -103.347
TA U15A  36.428  -112.291
XZ TABL  60.440  -141.144
TA T27A  37.061  -102.721
TA U24A  36.409  -105.278
XV BH3D  44.417  -107.390
TA N23A  40.895  -105.944
TA C20A  47.713  -108.004
TA 034A  27.065  -98.683
NM _SLM  38.636  -90.236
II _PFO  33.611  -116.456
TA 431A  30.682  -100.608
TA O23A  40.211  -105.918
TA M02C  41.392  -122.854
TA 135A  32.557  -97.410
