Number of stations is:
756 
     nw stn lat lon:
CU SDDR  18.982  -71.288
TA C36M  69.347  -124.070
TA C16K  68.275  -165.344
AK _CHN  54.831  -159.589
CC SWNB  43.673  -121.355
AV _ILS  59.957  -153.070
CN _ULM  50.250  -95.875
TA 833A  28.324  -99.394
PE PAGS  40.230  -76.720
AK _MCK  63.732  -148.937
AV PS4A  55.346  -161.857
CI _SDD  33.553  -117.662
CI _CWC  36.439  -118.080
CC OBSR  46.900  -121.815
TA S34M  57.913  -131.131
TA G19K  66.143  -157.087
AZ LVA2  33.352  -116.561
US HWUT  41.607  -111.565
TA H18K  65.153  -158.363
TA T35M  56.981  -130.250
N4 O20A  40.135  -108.242
TA N17K  60.527  -157.187
TA M29M  62.444  -138.462
AV AUCH  59.363  -153.445
PY BPH1  33.605  -116.452
TA TPFO  33.606  -116.454
CM _SJC  9.897  -75.180
AV AKHS  54.153  -165.887
TA L14K  61.342  -162.683
US AMTX  34.884  -101.681
N4 154A  32.613  -83.107
TA M19K  61.904  -154.392
US SCIA  41.907  -93.215
CM _TUM  1.824  -78.727
N4 M50A  41.404  -83.043
TA E22K  68.134  -151.813
AV _ACH  58.210  -155.328
TA J25K  64.613  -145.370
CI _ARV  35.127  -118.830
AK _RAG  60.386  -144.677
AK _CHI  55.822  -155.623
N4 X48A  34.452  -87.045
SC Y22A  33.937  -106.965
IU PAYG  -0.674  -90.286
UW _LTY  47.255  -120.666
N4 T57A  36.998  -79.254
PR AOPR  18.347  -66.754
N4 X51A  34.566  -84.857
NM USIN  37.965  -87.666
AK _CNP  59.525  -151.237
CI _USC  34.019  -118.286
TA G25K  66.765  -146.101
TA F30M  67.611  -135.786
CC TMBU  43.602  -121.145
US WMOK  34.738  -98.781
US _DUG  40.195  -112.813
TA R11B  38.349  -115.585
CC CIHL  43.751  -121.149
NM FFIL  38.381  -88.390
TA E17K  67.082  -161.826
N4 O49A  40.188  -84.335
US MCWV  39.658  -79.846
